video_id,link,caption,foil
video73,https://youtu.be/nXo2XLByd1s,,
video74,https://youtu.be/tHsQwTmA0bk,,
video74,https://youtu.be/tHsQwTmA0bk,,
video75,https://youtu.be/1BbADqa5DEo,,
video75,https://youtu.be/1BbADqa5DEo,,
video76,https://youtube.com/shorts/AvoVWd3ZjOo?feature=share,,
video76,https://youtube.com/shorts/AvoVWd3ZjOo?feature=share,,
video77,https://youtu.be/hWCkSAhyUYM,,
video77,https://youtu.be/hWCkSAhyUYM,,
video78,https://youtu.be/5xW1m5ZRjfQ,,
video78,https://youtu.be/5xW1m5ZRjfQ,,
video79,https://youtube.com/shorts/6eLrx3GU18Q?feature=share,,
video79,https://youtube.com/shorts/6eLrx3GU18Q?feature=share,,
video80,https://youtu.be/b1wRid4R4po,,
video80,https://youtu.be/b1wRid4R4po,,
video81,https://youtube.com/shorts/CxTBmwdTEkE?feature=share,,
video81,https://youtube.com/shorts/CxTBmwdTEkE?feature=share,,
video82,https://youtu.be/_FL5o5H_6BQ,,
video82,https://youtu.be/_FL5o5H_6BQ,,
video83,https://youtu.be/7aW_D7rF6bA,,
video83,https://youtu.be/7aW_D7rF6bA,,
video84,https://youtu.be/vdC6S-lyuiA,,
video84,https://youtu.be/vdC6S-lyuiA,,
video85,https://youtu.be/oudH679lVzU,,
video85,https://youtu.be/oudH679lVzU,,
video86,https://youtu.be/eR9-g_zctpE,,
video86,https://youtu.be/eR9-g_zctpE,,
video87,https://youtu.be/dGSUYHNNCAg,,
video87,https://youtu.be/dGSUYHNNCAg,,
video88,https://youtu.be/5oCybxvqUVM,,
video88,https://youtu.be/5oCybxvqUVM,,
video89,https://youtu.be/961xbpAsrNA,,
video89,https://youtu.be/961xbpAsrNA,,
video90,https://youtu.be/nSHM35xNZnI,,
video90,https://youtu.be/nSHM35xNZnI,,
video91,https://youtu.be/rKzuRSxHBcA,,
video91,https://youtu.be/rKzuRSxHBcA,,
video92,https://youtu.be/rIt3liCSdBw,,
video92,https://youtu.be/rIt3liCSdBw,,
video93,https://youtu.be/8ytESb6gmYw,,
video93,https://youtu.be/8ytESb6gmYw,,
video94,https://youtu.be/N-IOV_uRDGU,,
video94,https://youtu.be/N-IOV_uRDGU,,
video95,https://youtu.be/HbFKxaLo9kA,,
video95,https://youtu.be/HbFKxaLo9kA,,
video96,https://youtu.be/kZlK2xRm3LU,,
video96,https://youtu.be/kZlK2xRm3LU,,
video97,https://youtu.be/gJd0jwcv41s,,
video97,https://youtu.be/gJd0jwcv41s,,
video98,https://youtu.be/-yeZnfVDeAs,,
video98,https://youtu.be/-yeZnfVDeAs,,
video99,https://youtu.be/cfajwNoMqU8,,
video99,https://youtu.be/cfajwNoMqU8,,
video100,https://youtu.be/4fHfYO00w-c,,
video100,https://youtu.be/4fHfYO00w-c,,
